Data,DataType,PostID
T4,Title,443762
"11k cash + 26K equity, top performance double",YearlyBonus,449641
35k,SignBonus,449641
4000,Equity,449641
120k,BaseSalary,449641
engineer 1,Title,449641
25k,SignBonus,299195
85k,Equity,299195
125k,BaseSalary,299195
10%,YearlyBonus,299195
AMTS,Title,299195
50000,SignBonus,448712
15%,YearlyBonus,448712
300000,Equity,448712
150000,BaseSalary,448712
L,Title,448712
115k,BaseSalary,439117
0,YearlyBonus,430503
0,SignBonus,311156
115000,BaseSalary,289413
"0-20%, up to 9k stock",YearlyBonus,287240
15k,SignBonus,287240
25k,Equity,287240
118k,BaseSalary,287240
se,Title,287240
15%,YearlyBonus,288342
0,SignBonus,288342
200000,Equity,288342
150k,BaseSalary,288342
2,Title,288342
15000,YearlyBonus,288312
25000,SignBonus,288312
25000,Equity,288312
SDE 2,Title,288312
10%,YearlyBonus,283303
135000,BaseSalary,288312
20K,SignBonus,283303
N/A,Equity,283303
170K,BaseSalary,283303
Lead Data Scientist,Title,283303
10%,YearlyBonus,199579
0,SignBonus,199579
27K,Equity,199579
70K,BaseSalary,199579
SDE I,Title,199579
10%,YearlyBonus,229240
$270k,Equity,229240
$150k,BaseSalary,229240
E4,Title,229240
55K / 160K / 322K   (25%/5%/2%),YearlyBonus,183013
no,SignBonus,183013
13200,Equity,183013
140000,BaseSalary,183013
Sr. UX / UI Designer at Uber Creative Lab,Title,183013
没明说,YearlyBonus,288046
25k,SignBonus,288046
80k,Equity,288046
ICT3,Title,288046
depends,YearlyBonus,172362
120k,BaseSalary,288046
42000,SignBonus,172362
0,Equity,172362
$125000,BaseSalary,172362
Quantitative Analyst,Title,172362
no,YearlyBonus,206654
55k,SignBonus,206654
90,Equity,206654
120k,BaseSalary,206654
SDE2,Title,206654
0-20%,YearlyBonus,280475
10k,SignBonus,280475
20k,Equity,280475
115k,BaseSalary,280475
60,Title,280475
0,YearlyBonus,287715
20K,SignBonus,287715
50K,Equity,287715
SDE-1,Title,287715
130K,BaseSalary,287715
10%,YearlyBonus,203743
$25000,SignBonus,203743
$130000 over 4 years,Equity,203743
$150000,BaseSalary,203743
4,Title,203743
7.5%,YearlyBonus,278995
10000,SignBonus,278995
11000,Equity,278995
145000,BaseSalary,278995
SDE II,Title,278995
N/A,YearlyBonus,285838
N/A,SignBonus,285838
offer没标明，说是入职一段时间后给期权,Equity,285838
75000,BaseSalary,285838
初级开发,Title,285838
N/A,YearlyBonus,279265
60k,SignBonus,279265
250k,Equity,279265
200k,BaseSalary,279265
Senior Algorithm Engineer,Title,279265
