AnnualRefresh,Area,CompanyAltName,CompanyName,Degree,EquitySchedule,Experience,ExperienceLevel,GreenCard,JobFunction,JobType,Level,OtherOffer,PositionType,PostTime,PostTitle,PostUser,PromotionPkg,RelocationFee,Satisfaction,Season,Source,SpiderTime,URL,Year
-,BayArea,-,Yelp,硕士,4,1-3年,在职跳槽,入职6个月绿卡,码农类General,全职,-,无,IC (Individual Contributor 技术岗，不管人),2018-10-5 06:39:00,抖包袱求大米,lsy1991121,-,10000,去,1-3月,猎头,2018-10-06 17:21:58.413694,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447396&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018
-,BayArea,-,Google,硕士,25/25/25/25,<3个月短暂实习/全职,fresh grad应届毕业生,-,码农类General,全职,3,还没Compete,IC (Individual Contributor 技术岗，不管人),2018-10-5 23:37:28,Google New Grad MTV标准包 顺便求Negotiate指导！,henryly94,-,10500,应该要去,7-9月,Other,2018-10-06 17:21:58.480548,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447561&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018
-,BayArea,-,Facebook,硕士,25 25 25 25,1-3年,在职跳槽,-,码农类General,全职,-,-,IC (Individual Contributor 技术岗，不管人),,如何合理利用抖包袱版工资数据来谈判工资,Warald,-,-,-,4-6月,内推,2018-10-06 17:21:58.572303,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=381967&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018
-,Greater Seattle Area,-,Microsoft,硕士,"1/4,1/4,1/4,1/4",11-15年,在职跳槽,-,码农类General,全职,-,-,IC (Individual Contributor 技术岗，不管人),2018-10-6 00:57:02,MS包裹，请教已入职的兄弟姐妹,iambright,-,2.7,-,7-9月,猎头,2018-10-06 17:21:58.763779,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=445967&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018
-,Greater Seattle Area,-,Facebook,硕士,4 y,3-5年,其他,-,码农类General,全职,-,有狗家，但脸家不给加钱了,IC (Individual Contributor 技术岗，不管人),2018-10-3 01:09:28,脸书 西雅图 E4新鲜包裹,倒序浏览,-,-,不去,7-9月,内推,2018-10-06 17:21:58.816655,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=443987&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018
-,BayArea,-,Facebook,硕士,这是啥。。。还没搞清楚,<3个月短暂实习/全职,fresh grad应届毕业生,-,码农类General,全职,-,没有。。,IC (Individual Contributor 技术岗，不管人),2018-10-1 00:27:39,脸熟newgrad标准包,Big_Biang,-,-,去吧,7-9月,内推,2018-10-06 17:21:58.894411,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=442504&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018
-,美国其他地区,ADP,-,硕士,无,<3个月短暂实习/全职,fresh grad应届毕业生,-,码农类General,全职,-,-,IC (Individual Contributor 技术岗，不管人),2018-10-6 04:23:28,ADP new jersey GHC包,donghui_winnie,-,无,没想好,7-9月,Other,2018-10-06 17:21:58.934303,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447611&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018
-,BayArea,-,VMWare,硕士,4年,5-10年,在职跳槽,-,分析|数据科学类,全职,-,-,IC (Individual Contributor 技术岗，不管人),2018-10-6 04:20:07,VMWare Senior DS,ruxiz,-,-,打算去,7-9月,网上海投,2018-10-06 17:21:58.991179,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447610&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018
-,美国其他地区,Hyland,-,硕士,-,<3个月短暂实习/全职,fresh grad应届毕业生,yes,FrontEndEng,全职,-,Walmart,IC (Individual Contributor 技术岗，不管人),2018-10-3 03:52:41,Hyland 诚意包,小菜,-,5k,不知道,7-9月,网上海投,2018-10-06 17:21:59.329382,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=446856&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018
-,Southern California,-,Google,硕士,25%,1-3年,在职跳槽,-,码农类General,全职,3,-,IC (Individual Contributor 技术岗，不管人),2018-10-6 10:07:59,报一个之前的谷歌T3包,小鱼刺,-,10K.8,去,7-9月,猎头,2018-10-06 17:21:59.393190,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447677&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2017
