"AnnualRefresh","Area","CompanyAltName","CompanyName","Degree","EquitySchedule","Experience","ExperienceLevel","GreenCard","JobFunction","JobType","Level","OtherOffer","PositionType","PostTime","PostTitle","PostUser","PromotionPkg","RelocationFee","Satisfaction","Season","Source","SpiderTime","URL","Year","_type"
"-","BayArea","-","Facebook","硕士","25 25 25 25","1-3年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","null","如何合理利用抖包袱版工资数据来谈判工资","Warald","-","-","-","4-6月","内推","1.538872138655E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=381967&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","-","VMWare","硕士","4年","5-10年","在职跳槽","-","分析|数据科学类","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-6 04:20:07","VMWare Senior DS","ruxiz","-","-","打算去","7-9月","网上海投","1.538872139006E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447610&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","美国其他地区","ADP","-","硕士","无","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-6 04:23:28","ADP new jersey GHC包","donghui_winnie","-","无","没想好","7-9月","Other","1.538872140824E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447611&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","Oath","Yahoo","硕士","1/3","fresh grad 无实习/全职","fresh grad应届毕业生","应该可以搞定","MachineLearningEng","全职","-","Amazon","IC (Individual Contributor 技术岗，不管人)","2018-10-6 05:28:58","Oath Research Engineer 包","gilyao","-","20k","刚签","7-9月","内推","1.538872140992E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=436454&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","美国其他地区","Hyland","-","硕士","-","<3个月短暂实习/全职","fresh grad应届毕业生","yes","FrontEndEng","全职","-","Walmart","IC (Individual Contributor 技术岗，不管人)","2018-10-3 03:52:41","Hyland 诚意包","小菜","-","5k","不知道","7-9月","网上海投","1.53887214232E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=446856&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","-","Google","硕士","4","11-15年","在职跳槽","-","码农类General","全职","5","-","IC (Individual Contributor 技术岗，不管人)","null","经过好几轮negotiate，终于拿了这个狗家大包。还比较满意，去了","benzbenz","-","-","yes","4-6月","内推","1.538872142951E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=432240&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","Southern California","-","Google","硕士","25%","1-3年","在职跳槽","-","码农类General","全职","3","-","IC (Individual Contributor 技术岗，不管人)","2018-10-6 10:07:59","报一个之前的谷歌T3包","小鱼刺","-","10K.8","去","7-9月","猎头","1.53887214328E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447677&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2017","TrailItem"
"200000","BayArea","-","Facebook","本科","4 yrs","3-5年","在职跳槽","-","码农类General","全职","-","-","Manager","2018-10-6 11:54:33","FB M","dalef","-","-","去","7-9月","猎头","1.538872145699E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447696&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","Greater Seattle Area","-","Oracle","硕士","25% 25% 25% 25%","3-5年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-6 07:36:47","甲骨文云 ic3","tonyinsect123","-","-","去了……","7-9月","内推","1.538872146451E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447654&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","Square","-","硕士","-","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","recruiter说不给match","-","null","Square New Grad Master包裹","lqzgz","-","4.5k","-","4-6月","Other","1.538872147146E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=166132&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2016","TrailItem"
"-","BayArea","-","Paypal","硕士","3 year","1-3年","在职跳槽","不知道","码农类General","全职","-","没有","IC (Individual Contributor 技术岗，不管人)","2018-10-6 04:54:08","PayPal低球，顺便求问怎么撕offer。。","倒序浏览","-","N/A","-","7-9月","网上海投","1.538872147397E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447615&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","-","Facebook","本科","4","1-3年","在职跳槽","-","分析|数据科学类","全职","-","Very strong internal offer","IC (Individual Contributor 技术岗，不管人)","2018-10-2 01:40:03","FB DS Analytics 包裹","tongchen92","-","standard FB relocation","未定","7-9月","猎头","1.538872147716E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=441609&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","Tradeshift","-","本科","?","5-10年","在职跳槽","-","码农类General","全职","-","未谈判，手头上有个B轮Start up offer","IC (Individual Contributor 技术岗，不管人)","2018-10-6 14:20:13","E轮start up包包求分析","rainbowfart","-","?","不打算去","7-9月","Other","1.538872148941E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447726&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","Southern California","-","Snapchat","博士","1234","1-3年","在职跳槽","-","分析|数据科学类","全职","","-","-","2018-10-5 08:04:31","Snapchat Offer","maxareo","-","10k","No","10-12月","内推","1.538872150508E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=208484&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2016","TrailItem"
"-","Greater Seattle Area","Nordstrom","-","硕士","/","<3个月短暂实习/全职","fresh grad应届毕业生","入职一年后办","码农类General","全职","-","FB offer","IC (Individual Contributor 技术岗，不管人)","2018-10-3 01:51:16","Nordstrom return package","guozw","-","5K","婉拒","7-9月","实习ReturnOffer","1.538872151536E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=445628&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","Houzz","-","硕士","1 year cliff, then monthly","3个月-1年","fresh grad应届毕业生","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-2 03:02:24","Houzz ms 标准包","18844549105","-","5000","-","7-9月","内推","1.538872151586E12","http://www.1point3acres.com/bbs/thread-446587-1-1.html","2018","TrailItem"
"-","BayArea","AMEX","-","硕士","NONE","fresh grad 无实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-2 02:32:29","amex美国运通sde不知道是什么包","misty1007","-","-","不一定","4-6月","猎头","1.538872152767E12","http://www.1point3acres.com/bbs/thread-427343-1-1.html","2018","TrailItem"
"100K","BayArea","-","Google","博士","Monthly","1-3年","在职跳槽","-","FrontEndEng","全职","4","Netflix","IC (Individual Contributor 技术岗，不管人)","null","狗家T4包","linazhao128","-","-","-","7-9月","内推","1.538872153058E12","http://www.1point3acres.com/bbs/thread-443168-1-1.html","2018","TrailItem"
"-","BayArea","-","Google","硕士","4 years","1-3年","在职跳槽","-","码农类General","全职","3","tableau uber","IC (Individual Contributor 技术岗，不管人)","2018-10-2 13:45:00","狗T3纠结包","shiloh00","-","-","不造","7-9月","猎头","1.538872153935E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=446752&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","-","Facebook","硕士","不知道","3-5年","在职跳槽","-","码农类General","全职","4","-","IC (Individual Contributor 技术岗，不管人)","2018-9-30 03:13:36","FB，Uber，Apple 去哪个","edixcr","-","-","-","7-9月","网上海投","1.538872155283E12","http://www.1point3acres.com/bbs/thread-445379-1-1.html","2018","TrailItem"
"-","BayArea","-","Linkedin","硕士","4 years","1-3年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-9-30 13:37:11","linkedin 包裹，顺便求offer比较","倒序浏览","-","-","-","7-9月","内推","1.538872155522E12","http://www.1point3acres.com/bbs/thread-445950-1-1.html","2018","TrailItem"
"-","BayArea","Elementum","-","硕士","1/4 1/4 1/4 1/4","1-3年","在职跳槽","day 1","FrontEndEng","全职","-","其他 start up 和现在公司的 counter offer","IC (Individual Contributor 技术岗，不管人)","2018-10-3 01:50:02","Elementum 前端 一年工作经验大包","EthanLoatr","-","-","马上deadline了，估计要签，等不到Linkedin的结果了","7-9月","猎头","1.538872156275E12","http://www.1point3acres.com/bbs/thread-443220-1-1.html","2018","TrailItem"
"-","Greater New York Area","-","Bloomberg","硕士","none","3个月-1年","fresh grad应届毕业生","-","码农类General","全职","-","dell，钱少很多","IC (Individual Contributor 技术岗，不管人)","null","BB new grad标准包","woyuxuxu1234","-","10k","去","7-9月","内推","1.53887215682E12","http://www.1point3acres.com/bbs/thread-443608-1-1.html","2018","TrailItem"
"-","BayArea","-","Uber","硕士","1/4","1-3年","在职跳槽","-","码农类General","全职","2","还没谈 现在手里有Lyft","IC (Individual Contributor 技术岗，不管人)","2018-10-2 05:09:24","黑车不知是不是低球包+求建议","redpandaovo","-","-","不知道","7-9月","网上海投","1.538872156838E12","http://www.1point3acres.com/bbs/thread-446625-1-1.html","2018","TrailItem"
"-","BayArea","-","Apple","硕士","25-25-25-25","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","2","-","IC (Individual Contributor 技术岗，不管人)","2018-10-2 04:09:50","果家Return Offer 该怎么negotiate？","CriticalSection","-","-","挺喜欢apple的氛围的，加之组不错，还挺想去的～","7-9月","实习ReturnOffer","1.538872156879E12","http://www.1point3acres.com/bbs/thread-444550-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Facebook","博士","25% 25% 25% 25%","<3个月短暂实习/全职","fresh grad应届毕业生","-","MachineLearningEng","全职","4","NV Cruise","IC (Individual Contributor 技术岗，不管人)","2018-10-2 01:36:37","FB诚意包","starsmiling","-","10K","非常满意 去！","7-9月","猎头","1.53887215856E12","http://www.1point3acres.com/bbs/thread-446561-1-1.html","2018","TrailItem"
"-","BayArea","-","Lyft","硕士","4 years","1-3年","在职跳槽","3 months","分析|数据科学类","全职","4","-","IC (Individual Contributor 技术岗，不管人)","2018-10-2 11:21:41","Lyft Data Scientist L4 包裹","schwarzsakura","-","10k","yes","7-9月","网上海投","1.538872161651E12","http://www.1point3acres.com/bbs/thread-436212-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Microsoft","本科","3.5 years","3个月-1年","fresh grad应届毕业生","-","码农类General","全职","60","-","IC (Individual Contributor 技术岗，不管人)","2018-9-30 04:37:45","MS 本科 return intern 包袱","jerryliuzy","-","5.5k","希望signon和stock都再高点","7-9月","实习ReturnOffer","1.538872161767E12","http://www.1point3acres.com/bbs/thread-446029-1-1.html","2018","TrailItem"
"Not sure","BayArea","Verizon (Revvel)","-","硕士","3 years","3-5年","在职跳槽","3 months","码农类General","全职","3","Amazon/ Cisco(AppDynamics)/ Zipongo","IC (Individual Contributor 技术岗，不管人)","2018-10-3 02:48:32","Verizon (Revvel) offer/ Amazon offer 求比较","AdamCMU","-","-","Not sure","7-9月","猎头","1.538872162604E12","http://www.1point3acres.com/bbs/thread-297140-1-1.html","2017","TrailItem"
"-","Greater Seattle Area","-","Amazon","硕士","na","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","drawbridge","IC (Individual Contributor 技术岗，不管人)","2018-10-2 00:16:23","亚麻 sde1 package","gita","-","-","去","7-9月","内推","1.538872162824E12","http://www.1point3acres.com/bbs/thread-446540-1-1.html","2018","TrailItem"
"-","BayArea","-","VMWare","硕士","4","3-5年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 05:51:52","vmware senior MTS诚意包","xxtxdy","-","-","-","7-9月","内推","1.538872163496E12","http://www.1point3acres.com/bbs/thread-446887-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Amazon","硕士","分四年，5% + 15% + 40% + 40%","3个月-1年","在职跳槽","-","码农类General","全职","1","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 06:40:07","求比较amazon 和 yahoo","巨大的炮仗","-","1w","不清楚，求对比","7-9月","Other","1.538872164647E12","http://www.1point3acres.com/bbs/thread-446900-1-1.html","2018","TrailItem"
"-","BayArea","-","Airbnb","本科","25/25/25/25","1-3年","在职跳槽","-","分析|数据科学类","全职","4","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 07:10:39","Airbnb Data Scientist, L4","drknjl","-","15000","-","7-9月","网上海投","1.5388721662E12","http://www.1point3acres.com/bbs/thread-287551-1-1.html","2017","TrailItem"
"-","Chicago","Uptake","-","硕士","NA","3个月-1年","fresh grad应届毕业生","?","分析|数据科学类","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 10:17:36","Uptake DS @ Chicago - new grad","tianye2856","-","5000","已推","7-9月","内推","1.538872167008E12","http://www.1point3acres.com/bbs/thread-441827-1-1.html","2018","TrailItem"
"-","BayArea","-","Pinterest","博士","0.25*4","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 02:57:00","P家 SRE offer","千里卜卜","-","10k","-","7-9月","网上海投","1.538872167128E12","http://www.1point3acres.com/bbs/thread-446835-1-1.html","2018","TrailItem"
"105,000 USD 左右","Greater New York Area","-","Uber","博士","25% 25% 25% 25%","5-10年","在职跳槽","还没问 应该是一进去就开始办吧 要不然就不去了","码农类General","全职","-","别的还没消息","IC (Individual Contributor 技术岗，不管人)","null","uber offer求鉴定","mitnato","没谈这个","-","犹豫中","7-9月","猎头","1.538872168284E12","http://www.1point3acres.com/bbs/thread-439170-1-1.html","2018","TrailItem"
"-","BayArea","-","Google","硕士","25% , 25%, 25%, 25%","1-3年","在职跳槽","-","码农类General","全职","3","Indeed","IC (Individual Contributor 技术岗，不管人)","2018-10-2 05:12:03","跳槽到狗家包裹","hugotian0910","-","10K","打算去","7-9月","猎头","1.53887216833E12","http://www.1point3acres.com/bbs/thread-446626-1-1.html","2018","TrailItem"
"-","BayArea","-","Cisco","硕士","-","fresh grad 无实习/全职","fresh grad应届毕业生","-","码农类General","全职","062","None, still interviewing","IC (Individual Contributor 技术岗，不管人)","2018-9-30 22:36:52","西斯扣 New Grad","578635861","-","10k","非常可能，因为专业对口","7-9月","校园招聘会","1.538872168452E12","http://www.1point3acres.com/bbs/thread-445589-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Amazon","本科","5 15 40 40","1-3年","在职跳槽","-","码农类General","全职","5","-","IC (Individual Contributor 技术岗，不管人)","2018-10-2 17:46:16","西雅图亚麻包 求意见","evileyed","-","10k","不出意外应该从了","7-9月","猎头","1.538872169665E12","http://www.1point3acres.com/bbs/thread-446775-1-1.html","2018","TrailItem"
"-","BayArea","-","Google","硕士","no cliff, monthly","3个月-1年","fresh grad应届毕业生","-","码农类General","全职","3","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 09:28:24","Google standard package","18844549105","-","10500","-","7-9月","实习ReturnOffer","1.538872170981E12","http://www.1point3acres.com/bbs/thread-446943-1-1.html","2018","TrailItem"
"-","BayArea","黑石","-","硕士","n/a","1-3年","在职跳槽","-","码农类General","全职","-","blend","IC (Individual Contributor 技术岗，不管人)","2018-10-3 11:58:30","Offer 求比较, 黑石 vs Blend lab","zoey59","-","n/a","纠结","4-6月","网上海投","1.538872171722E12","http://www.1point3acres.com/bbs/thread-416523-1-1.html","2018","TrailItem"
"-","BayArea","Oath","Yahoo","硕士","3 years","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 01:41:37","Oath(Yahoo) SDE I","zzzzz666","-","up to 25k","-","7-9月","实习ReturnOffer","1.538872171986E12","http://www.1point3acres.com/bbs/thread-446820-1-1.html","2018","TrailItem"
"-","BayArea","GM cruise","-","博士","25% 25% 25% 25%","<3个月短暂实习/全职","fresh grad应届毕业生","-","MachineLearningEng","全职","-","NV FB","IC (Individual Contributor 技术岗，不管人)","2018-10-2 01:53:58","GM cruise诚意包","starsmiling","-","10K","-","7-9月","内推","1.538872172119E12","http://www.1point3acres.com/bbs/thread-446569-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","巨硬","-","硕士","4","5-10年","在职跳槽","-","码农类General","全职","-","none","IC (Individual Contributor 技术岗，不管人)","null","巨硬61让大家笑笑, 正在negotiate中","jimwallet","-","13500","this is bull shit","7-9月","猎头","1.538872172647E12","http://www.1point3acres.com/bbs/thread-441591-1-1.html","2018","TrailItem"
"-","BayArea","-","DrawBridge","硕士","na","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-2 00:10:54","画桥 new grad sde 包","gita","-","na","不去了T.T","7-9月","网上海投","1.538872174283E12","http://www.1point3acres.com/bbs/thread-446537-1-1.html","2018","TrailItem"
"-","Pittsburgh","-","Google","本科","4 yrs (uniform)","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","3","Quora, Citadel","IC (Individual Contributor 技术岗，不管人)","2018-10-4 01:08:00","匹村狗本标准","guguke","-","0 (local)","-","7-9月","实习ReturnOffer","1.538872174315E12","http://www.1point3acres.com/bbs/thread-447070-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Amazon","本科","5 15 40 40","5-10年","在职跳槽","-","码农类General","全职","5","ORACLE","IC (Individual Contributor 技术岗，不管人)","2018-9-30 18:15:48","回馈大地之AMAZON不知道啥包","geekhuh","-","-","Hiring Manager非常有诚意，如果没意外应该会","7-9月","猎头","1.538872175107E12","http://www.1point3acres.com/bbs/thread-446313-1-1.html","2018","TrailItem"
"-","BayArea","-","Intel","博士","n/a","fresh grad 无实习/全职","fresh grad应届毕业生","-","电路/电子/半导体类","全职","7","-","IC (Individual Contributor 技术岗，不管人)","2018-10-2 08:55:20","Intel Ph.D. offer - semiconductor device","henry060887","-","yes","-","4-6月","校园招聘会","1.538872175151E12","http://www.1point3acres.com/bbs/thread-429176-1-1.html","2018","TrailItem"
"-","BayArea","-","Google","硕士","25 25 25 25","3-5年","在职跳槽","-","码农类General","全职","-","Linkedin","IC (Individual Contributor 技术岗，不管人)","2018-10-4 08:45:44","Google T4","bahblah","-","-","没更好的","4-6月","内推","1.53887217643E12","http://www.1point3acres.com/bbs/thread-431880-1-1.html","2018","TrailItem"
"-","BayArea","-","Google","博士","25 25 25 25","fresh grad 无实习/全职","fresh grad应届毕业生","-","码农类General","全职","4","脸书","IC (Individual Contributor 技术岗，不管人)","2018-10-2 05:55:21","狗家fresh phd","GTmac","-","-","-","7-9月","猎头","1.538872177025E12","http://www.1point3acres.com/bbs/thread-446634-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Amazon","硕士","5 15 20 * 4","3-5年","在职跳槽","day 1","码农类General","全职","5","-","IC (Individual Contributor 技术岗，不管人)","2018-10-4 12:08:21","亚麻 SDE社招","alex_901","-","10k","-","7-9月","网上海投","1.538872177858E12","http://www.1point3acres.com/bbs/thread-438238-1-1.html","2018","TrailItem"
