AnnualRefresh,Area,BaseSalary,CompanyAltName,CompanyName,Degree,Equity,EquitySchedule,Experience,ExperienceLevel,GreenCard,Group,InterestPoint,JobFunction,JobType,Level,OtherOffer,PositionType,PostTime,PostTitle,PostUser,PromotionPkg,RelocationFee,Satisfaction,Season,SignBonus,Source,SpiderTime,Title,URL,Year,YearlyBonus
-,Greater Seattle Area,,-,Microsoft,硕士,,25%+25%+25%+25%,fresh grad 无实习/全职,fresh grad应届毕业生,-,Azure,-,码农类General,全职,60,股票和base都比amazon return要高。不过amazon的sign on是两年的：34K+20K,IC (Individual Contributor 技术岗，不管人),2018-10-6 08:18:38,MS New Grad Package,学渣找工作,-,5500,-,7-9月,,校园招聘会,2018-10-09 23:22:56.517048,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447658&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2019,
-,Greater Seattle Area,,-,Amazon,硕士,,na,<3个月短暂实习/全职,fresh grad应届毕业生,-,-,-,码农类General,全职,-,drawbridge,IC (Individual Contributor 技术岗，不管人),,亚麻 sde1 package,gita,-,-,去,7-9月,,内推,2018-10-09 23:22:56.576892,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=446540&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018,
-,Southern California,,Houzz,-,硕士,,25%/25%/25%/25%,1-3年,在职跳槽,-,"Frontend, 但是主管希望我做full-stack",待遇，前景，学习。,FrontEndEng,全职,-,无,IC (Individual Contributor 技术岗，不管人),2018-10-10 01:09:11,Houzz Software Engineer - Santa Monica,fredcorn,-,-,Accepted,7-9月,-,网上海投,2018-10-09 23:22:56.604814,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=448411&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018,
-,Greater New York Area,,-,Bloomberg,硕士,-,-,<3个月短暂实习/全职,fresh grad应届毕业生,-,-,-,码农类General,全职,-,-,IC (Individual Contributor 技术岗，不管人),2018-10-10 04:32:50,BB 上门 过经验,mmd136492469,-,-,不想去,7-9月,,内推,2018-10-09 23:22:56.868140,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=448480&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018,
-,BayArea,,-,Google,硕士,,4,>15年,在职跳槽,-,不知道， title吧,-,码农类General,全职,8,"microsoft, 67 or 68",Director,,发一个朋友的朋友的G cloud导演包,倒序浏览,-,-,-,7-9月,,内推,2018-10-09 23:22:56.940941,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=435283&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018,
-,Southern California,,-,Qualcomm,硕士,,?,<3个月短暂实习/全职,fresh grad应届毕业生,-,-,-,电路/电子/半导体类,全职,-,-,Other,2018-10-10 06:28:42,抖个EE硬件的包袱,倒序浏览,-,10K,还要面另一个公司,10-12月,,Other,2018-10-09 23:22:57.127416,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=448513&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018,
-,Greater Seattle Area,,-,Amazon,本科,,"5,15,25,25",1-3年,其他,-,AWS,-,码农类General,全职,5,-,IC (Individual Contributor 技术岗，不管人),,反潮流兜兜在职亚马逊的包裹。。。感觉和刚招进来的人差好远,keystdio,-,-,-,4-6月,,实习ReturnOffer,2018-10-09 23:22:57.164319,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=437765&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2016,-
based on performance,BayArea,,-,Lyft,硕士,,25% first year then quarter,1-3年,在职跳槽,3months?,-,-,码农类General,全职,-,"lyft, uber, walmart labs",IC (Individual Contributor 技术岗，不管人),2018-10-10 08:22:52,凌鹰低球,redpandaovo,-,-,argue中 加钱就去,7-9月,,内推,2018-10-09 23:22:57.201219,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=448551&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018,
-,BayArea,,-,Google,硕士,,4 year,1-3年,在职跳槽,first day,DIA,-,码农类General,全职,-,无,IC (Individual Contributor 技术岗，不管人),2018-10-9 07:34:55,狗狗一年跳槽,不可爱的小番茄,-,-,已签,10-12月,,内推,2018-10-09 23:22:57.474495,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=448242&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018,
-,BayArea,,-,Facebook,本科,,4 yrs,3-5年,在职跳槽,-,-,-,码农类General,全职,-,-,Manager,2018-10-6 12:03:21,重开一贴 FB M1,dalef,-,-,-,7-9月,,猎头,2018-10-09 23:22:57.567240,,http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447698&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320,2018,
