"Data","DataType","PostID","_type"
"data scientist","Title","449800","AjaxItem"
"10%","YearlyBonus","165056","AjaxItem"
"10000","SignBonus","165056","AjaxItem"
"500","Equity","165056","AjaxItem"
"105000","BaseSalary","165056","AjaxItem"
"SDE1","Title","165056","AjaxItem"
"15%","YearlyBonus","388670","AjaxItem"
"100000","SignBonus","388670","AjaxItem"
"1500000","Equity","388670","AjaxItem"
"250000","BaseSalary","388670","AjaxItem"
"7","Title","388670","AjaxItem"
"15%","YearlyBonus","381967","AjaxItem"
"100000","SignBonus","381967","AjaxItem"
"2000000","Equity","381967","AjaxItem"
"200000","BaseSalary","381967","AjaxItem"
"5","Title","381967","AjaxItem"
"15%","YearlyBonus","447070","AjaxItem"
"0","SignBonus","447070","AjaxItem"
"85k","Equity","447070","AjaxItem"
"985k","BaseSalary","447070","AjaxItem"
"Software Engineer II","Title","447070","AjaxItem"
"no","YearlyBonus","447621","AjaxItem"
"130k","SignBonus","447621","AjaxItem"
"200k","Equity","447621","AjaxItem"
"130k","BaseSalary","447621","AjaxItem"
"l4","Title","447621","AjaxItem"
"10K","SignBonus","449639","AjaxItem"
"$15000(是的三个零)","Equity","449639","AjaxItem"
"SWE","Title","449639","AjaxItem"
"127K","BaseSalary","449639","AjaxItem"
"base 20% + 13k$股票，前提是绩效100%的情况","YearlyBonus","449560","AjaxItem"
"~20%","YearlyBonus","449639","AjaxItem"
"3.0","SignBonus","449560","AjaxItem"
"75k","Equity","449560","AjaxItem"
"130k","BaseSalary","449560","AjaxItem"
"SDE2","Title","449560","AjaxItem"
"N/A","YearlyBonus","449644","AjaxItem"
"10%","YearlyBonus","302215","AjaxItem"
"30k","SignBonus","302215","AjaxItem"
"150k","Equity","302215","AjaxItem"
"170k","BaseSalary","302215","AjaxItem"
"regular","Title","302215","AjaxItem"
"0","YearlyBonus","449465","AjaxItem"
"42000+30000","SignBonus","449465","AjaxItem"
"45 RSU","Equity","449465","AjaxItem"
"140000","BaseSalary","449465","AjaxItem"
"SDE","Title","449465","AjaxItem"
"10%","YearlyBonus","438002","AjaxItem"
"30K","SignBonus","438002","AjaxItem"
"200K","Equity","438002","AjaxItem"
"135K","BaseSalary","438002","AjaxItem"
"SDE","Title","438002","AjaxItem"
"15%","YearlyBonus","448249","AjaxItem"
"4000+10900 share","Equity","448249","AjaxItem"
"20k","SignBonus","448249","AjaxItem"
"130k","BaseSalary","448249","AjaxItem"
"sde","Title","448249","AjaxItem"
"recruiter没说？？","YearlyBonus","436883","AjaxItem"
"25k","SignBonus","436883","AjaxItem"
"140k","Equity","436883","AjaxItem"
"130k","BaseSalary","436883","AjaxItem"
"PM (不确定是不是II)","Title","436883","AjaxItem"
"Null","YearlyBonus","448409","AjaxItem"
"30k/24k","SignBonus","448409","AjaxItem"
"40","Equity","448409","AjaxItem"
"122k","BaseSalary","448409","AjaxItem"
"SDE 1","Title","448409","AjaxItem"
"20% target","YearlyBonus","449183","AjaxItem"
"75k","SignBonus","449183","AjaxItem"
"40k+40k (在逗我吗)","Equity","449183","AjaxItem"
"170k","BaseSalary","449183","AjaxItem"
"senior","Title","449183","AjaxItem"
"15%","YearlyBonus","439346","AjaxItem"
"$60k","SignBonus","439346","AjaxItem"
"~$480k","Equity","439346","AjaxItem"
"185k","BaseSalary","439346","AjaxItem"
"Engineering Manager","Title","439346","AjaxItem"
"performance based","YearlyBonus","448817","AjaxItem"
"30k","SignBonus","448817","AjaxItem"
"105k","Equity","448817","AjaxItem"
"125k","BaseSalary","448817","AjaxItem"
"no idea","Title","448817","AjaxItem"
"0","YearlyBonus","373012","AjaxItem"
"0","SignBonus","373012","AjaxItem"
"18k shares","Equity","373012","AjaxItem"
"110k","BaseSalary","373012","AjaxItem"
"new grad","Title","373012","AjaxItem"
"15%","YearlyBonus","441203","AjaxItem"
"40k","SignBonus","441203","AjaxItem"
"280k","Equity","441203","AjaxItem"
"135k","BaseSalary","441203","AjaxItem"
"Software Engineer","Title","441203","AjaxItem"
"15%","YearlyBonus","446752","AjaxItem"
"300k","Equity","446752","AjaxItem"
"50k","SignBonus","446752","AjaxItem"
"145k","BaseSalary","446752","AjaxItem"
"T3","Title","446752","AjaxItem"
"10%","YearlyBonus","448551","AjaxItem"
"35k","SignBonus","448551","AjaxItem"
"175k","Equity","448551","AjaxItem"
"Up to 20%","YearlyBonus","447658","AjaxItem"
"25K","SignBonus","447658","AjaxItem"
"75K","Equity","447658","AjaxItem"
"117K","BaseSalary","447658","AjaxItem"
"N/A","Title","447658","AjaxItem"
"depends","YearlyBonus","214440","AjaxItem"
"13000","SignBonus","214440","AjaxItem"
"0","Equity","214440","AjaxItem"
"130000","BaseSalary","214440","AjaxItem"
"entry level SE","Title","214440","AjaxItem"
"12%","YearlyBonus","446223","AjaxItem"
"30000","SignBonus","446223","AjaxItem"
"0","Equity","446223","AjaxItem"
"113000","BaseSalary","446223","AjaxItem"
"manager","Title","446223","AjaxItem"
"10%","YearlyBonus","447775","AjaxItem"
"25k","SignBonus","447775","AjaxItem"
"100k over 4 years","Equity","447775","AjaxItem"
"125k","BaseSalary","447775","AjaxItem"
"E3","Title","447775","AjaxItem"
"0","SignBonus","441610","AjaxItem"
"10%","YearlyBonus","441610","AjaxItem"
"5%","YearlyBonus","304936","AjaxItem"
"40000","SignBonus","304936","AjaxItem"
"160000","Equity","304936","AjaxItem"
"125000","BaseSalary","304936","AjaxItem"
"-","Title","304936","AjaxItem"
"10%","YearlyBonus","377769","AjaxItem"
"25k","SignBonus","377769","AjaxItem"
"220k","Equity","377769","AjaxItem"
"150k","BaseSalary","377769","AjaxItem"
"Software Engineer","Title","377769","AjaxItem"
"13500","YearlyBonus","448264","AjaxItem"
"20000","SignBonus","448264","AjaxItem"
"7888/4yr (48$ perferred value)","Equity","448264","AjaxItem"
"147150","BaseSalary","448264","AjaxItem"
"SDE2","Title","448264","AjaxItem"
"还没谈","YearlyBonus","442580","AjaxItem"
"0","SignBonus","442580","AjaxItem"
"还没谈","Equity","442580","AjaxItem"
"140K","BaseSalary","442580","AjaxItem"
"15%","YearlyBonus","433074","AjaxItem"
"-","SignBonus","433074","AjaxItem"
"100k","Equity","433074","AjaxItem"
"120k","BaseSalary","433074","AjaxItem"
"SWE","Title","433074","AjaxItem"
"Target bonus 10%","YearlyBonus","445926","AjaxItem"
"45k","SignBonus","445926","AjaxItem"
"200k","Equity","445926","AjaxItem"
"150k","BaseSalary","445926","AjaxItem"
"Software Engineer","Title","445926","AjaxItem"
"15%","YearlyBonus","439720","AjaxItem"
"还没说要给 很不爽","SignBonus","439720","AjaxItem"
"135000","Equity","439720","AjaxItem"
"165000","BaseSalary","439720","AjaxItem"
"SDE","Title","439720","AjaxItem"
"15%","YearlyBonus","337027","AjaxItem"
"20k","SignBonus","337027","AjaxItem"
"450k","Equity","337027","AjaxItem"
"170k","BaseSalary","337027","AjaxItem"
"Software Engineer","Title","337027","AjaxItem"
"不知道","YearlyBonus","447654","AjaxItem"
"25K","SignBonus","447654","AjaxItem"
"8500 share","Equity","447654","AjaxItem"
"165K","BaseSalary","447654","AjaxItem"
"ic3","Title","447654","AjaxItem"
"呵呵","YearlyBonus","446775","AjaxItem"
"[hide=137]87k/65k[/hide]","SignBonus","446775","AjaxItem"
"[hide=137]96[/hide]","Equity","446775","AjaxItem"
"[hide=137]155k[/hide]","BaseSalary","446775","AjaxItem"
"SDE II","Title","446775","AjaxItem"
"-","YearlyBonus","448274","AjaxItem"
"-","SignBonus","448274","AjaxItem"
"-","Equity","448274","AjaxItem"
"9K/mo","BaseSalary","448274","AjaxItem"
"intern","Title","448274","AjaxItem"
"-","YearlyBonus","448276","AjaxItem"
"up to 20%","YearlyBonus","447522","AjaxItem"
"25k","SignBonus","447522","AjaxItem"
"120k","Equity","447522","AjaxItem"
"109k","BaseSalary","447522","AjaxItem"
"SDE","Title","447522","AjaxItem"
"0 (internship)","YearlyBonus","447771","AjaxItem"
"0","SignBonus","447771","AjaxItem"
"0 (internship)","Equity","447771","AjaxItem"
"145.6k (2.8k / mo)","BaseSalary","447771","AjaxItem"
"Software Engineering Intern","Title","447771","AjaxItem"
"0","YearlyBonus","441834","AjaxItem"
"71K + 52K","SignBonus","441834","AjaxItem"
"90","Equity","441834","AjaxItem"
"158K","BaseSalary","441834","AjaxItem"
"SDE","Title","441834","AjaxItem"
"15%","YearlyBonus","447854","AjaxItem"
"100K","SignBonus","447854","AjaxItem"
"600K","Equity","447854","AjaxItem"
"190K","BaseSalary","447854","AjaxItem"
"SDE","Title","447854","AjaxItem"
"15","YearlyBonus","432240","AjaxItem"
"0","SignBonus","432240","AjaxItem"
"20%","YearlyBonus","447696","AjaxItem"
"10%","YearlyBonus","443987","AjaxItem"
"50k","SignBonus","443987","AjaxItem"
"300k","Equity","443987","AjaxItem"
"155k","BaseSalary","443987","AjaxItem"
"4","Title","443987","AjaxItem"
"17%","YearlyBonus","447610","AjaxItem"
"1万","SignBonus","447610","AjaxItem"
"8万","Equity","447610","AjaxItem"
"16.5万","BaseSalary","447610","AjaxItem"
"senior data scientist","Title","447610","AjaxItem"
"根据表现","YearlyBonus","436454","AjaxItem"
"30k","SignBonus","436454","AjaxItem"
"120k","Equity","436454","AjaxItem"
"150k","BaseSalary","436454","AjaxItem"
"3 or 4 不确定","Title","436454","AjaxItem"
"0","YearlyBonus","446856","AjaxItem"
"0","SignBonus","446856","AjaxItem"
"0","Equity","446856","AjaxItem"
"85k","BaseSalary","446856","AjaxItem"
"Developer2","Title","446856","AjaxItem"
"15%","YearlyBonus","447677","AjaxItem"
"50K","SignBonus","447677","AjaxItem"
"0","YearlyBonus","447235","AjaxItem"
"0","SignBonus","447235","AjaxItem"
"0","Equity","447235","AjaxItem"
"98000","BaseSalary","447235","AjaxItem"
"Software Engineer Intern","Title","447235","AjaxItem"
"15%","YearlyBonus","444383","AjaxItem"
"50000","SignBonus","444383","AjaxItem"
"320000","Equity","444383","AjaxItem"
"165000","BaseSalary","444383","AjaxItem"
"T4","Title","444383","AjaxItem"
"20%","YearlyBonus","446865","AjaxItem"
"0","SignBonus","446865","AjaxItem"
"5500","Equity","446865","AjaxItem"
"78500","BaseSalary","446865","AjaxItem"
"Software Engineer 2","Title","446865","AjaxItem"
"10%","YearlyBonus","439117","AjaxItem"
"10k","SignBonus","439117","AjaxItem"
"None","Equity","439117","AjaxItem"
"115k","BaseSalary","439117","AjaxItem"
"Engineer 1","Title","439117","AjaxItem"
"5%","YearlyBonus","427343","AjaxItem"
"15k","SignBonus","427343","AjaxItem"
"financial company没有股票","Equity","427343","AjaxItem"
"120K","BaseSalary","427343","AjaxItem"
"sde","Title","427343","AjaxItem"
"不知道","YearlyBonus","445379","AjaxItem"
"不知道","SignBonus","445379","AjaxItem"
"不知道","Equity","445379","AjaxItem"
"不知道","BaseSalary","445379","AjaxItem"
"senior 1","Title","445379","AjaxItem"
"15k","YearlyBonus","443608","AjaxItem"
"none","SignBonus","443608","AjaxItem"
"none","Equity","443608","AjaxItem"
"135k","BaseSalary","443608","AjaxItem"
"Software Engineer","Title","443608","AjaxItem"
"10%","YearlyBonus","445950","AjaxItem"
"35000","SignBonus","445950","AjaxItem"
"200000","Equity","445950","AjaxItem"
"160000","BaseSalary","445950","AjaxItem"
"Software Engineer","Title","445950","AjaxItem"
"10%","YearlyBonus","443220","AjaxItem"
"10%","YearlyBonus","444553","AjaxItem"
"$35000","SignBonus","444553","AjaxItem"
"$60000","Equity","444553","AjaxItem"
"$120000","BaseSalary","444553","AjaxItem"
"SDE","Title","444553","AjaxItem"
"/","YearlyBonus","445087","AjaxItem"
"/","SignBonus","445087","AjaxItem"
"/","Equity","445087","AjaxItem"
"7300 / month","BaseSalary","445087","AjaxItem"
"Intern","Title","445087","AjaxItem"
"12%","YearlyBonus","446455","AjaxItem"
"20k","SignBonus","446455","AjaxItem"
"150k","Equity","446455","AjaxItem"
"140k","BaseSalary","446455","AjaxItem"
"Member of Technical Staff III","Title","446455","AjaxItem"
"8%-20%","YearlyBonus","446528","AjaxItem"
"10K","SignBonus","446528","AjaxItem"
"270K","Equity","446528","AjaxItem"
"170K","BaseSalary","446528","AjaxItem"
"T5","Title","446528","AjaxItem"
"10%","YearlyBonus","446560","AjaxItem"
"65000","SignBonus","446560","AjaxItem"
"150000","Equity","446560","AjaxItem"
"0","YearlyBonus","444392","AjaxItem"
"0","SignBonus","444392","AjaxItem"
"750 rsu","Equity","444392","AjaxItem"
"130000","BaseSalary","444392","AjaxItem"
"software engineer","Title","444392","AjaxItem"
"N/A","YearlyBonus","445615","AjaxItem"
"N/A","SignBonus","445615","AjaxItem"
"85k","Equity","445615","AjaxItem"
"110k","BaseSalary","445615","AjaxItem"
"SDE II","Title","445615","AjaxItem"
"10%","YearlyBonus","441860","AjaxItem"
"40000","SignBonus","441860","AjaxItem"
"300000","Equity","441860","AjaxItem"
"180000","BaseSalary","441860","AjaxItem"
"Senior","Title","441860","AjaxItem"
"15k","YearlyBonus","428151","AjaxItem"
"0","SignBonus","428151","AjaxItem"
"0","Equity","428151","AjaxItem"
"108k","BaseSalary","428151","AjaxItem"
"Resident Engineer II - Fixed Term","Title","428151","AjaxItem"
"15%","YearlyBonus","445966","AjaxItem"
"30k","SignBonus","445966","AjaxItem"
"N/A","Equity","445966","AjaxItem"
"160k","BaseSalary","445966","AjaxItem"
"max 10%","YearlyBonus","444878","AjaxItem"
"20k","SignBonus","444878","AjaxItem"
"$123k","Equity","444878","AjaxItem"
"160k","BaseSalary","444878","AjaxItem"
"Senior SWE","Title","444878","AjaxItem"
"not sure","YearlyBonus","443180","AjaxItem"
"3.2 + 2.4","SignBonus","443180","AjaxItem"
"85000","Equity","443180","AjaxItem"
"145000","BaseSalary","443180","AjaxItem"
"Applied Scientist","Title","443180","AjaxItem"
"Based on performance","YearlyBonus","445180","AjaxItem"
"20K","SignBonus","445180","AjaxItem"
"105K","Equity","445180","AjaxItem"
"135K","BaseSalary","445180","AjaxItem"
"Hardware Test Engineer","Title","445180","AjaxItem"
"3k","YearlyBonus","444629","AjaxItem"
"3k","SignBonus","444629","AjaxItem"
"245","Equity","444629","AjaxItem"
"162K","BaseSalary","444629","AjaxItem"
"16%","YearlyBonus","437014","AjaxItem"
"30k","SignBonus","437014","AjaxItem"
"20k","Equity","437014","AjaxItem"
"135k","BaseSalary","437014","AjaxItem"
"SDEIII","Title","437014","AjaxItem"
"不太清楚","YearlyBonus","294647","AjaxItem"
"40k","SignBonus","294647","AjaxItem"
"无","Equity","294647","AjaxItem"
"12.5k","BaseSalary","294647","AjaxItem"
"assoiate","Title","294647","AjaxItem"
"15%","YearlyBonus","444589","AjaxItem"
"35k","SignBonus","444589","AjaxItem"
"280k","Equity","444589","AjaxItem"
"131k","BaseSalary","444589","AjaxItem"
"t3","Title","444589","AjaxItem"
"40k target","YearlyBonus","313133","AjaxItem"
"不记得了，不是没有就是不多","SignBonus","313133","AjaxItem"
"12k RSU","Equity","313133","AjaxItem"
"150k","BaseSalary","313133","AjaxItem"
"Data Scientist II","Title","313133","AjaxItem"
"N/A","YearlyBonus","278569","AjaxItem"
"47k+37k","SignBonus","278569","AjaxItem"
"Target 14k cash + 53k equity","YearlyBonus","438094","AjaxItem"
"20k+20k","SignBonus","438094","AjaxItem"
"6337*40.60","Equity","438094","AjaxItem"
"139k","BaseSalary","438094","AjaxItem"
"SDE2","Title","438094","AjaxItem"
"-","YearlyBonus","443790","AjaxItem"
"38k+33k","SignBonus","443790","AjaxItem"
"125k","BaseSalary","443790","AjaxItem"
"SDE I","Title","443790","AjaxItem"
"N/A","YearlyBonus","442223","AjaxItem"
"100 RSU","Equity","443790","AjaxItem"
"N/A","SignBonus","442223","AjaxItem"
"N/A","Equity","442223","AjaxItem"
